"EPC","Time","Antenna","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)","DopplerShift(Hz)","Velocity"
"FFFFFFFFFFFFFFFFE2000005","1448518729804638","1","-58","2.83479649601267","162.421875","208","-0.00789734140332974"
"FFFFFFFFFFFFFFFFE2000005","1448518729804638","1","-58","2.83479649601267","162.421875","-156","-0.00789734140332974"
"FFFFFFFFFFFFFFFFE2000005","1448518729804638","1","-59","2.83479649601267","162.421875","-156","-0.00789734140332974"
"FFFFFFFFFFFFFFFFE2000005","1448518729848289","1","-59","2.76116541819415","158.203125","-156","0.000932716565777746"
"FFFFFFFFFFFFFFFFE2000005","1448518729848289","1","-59","2.76116541819415","158.203125","0","0.000932716565777746"
"FFFFFFFFFFFFFFFFE2000005","1448518729848289","1","-58","2.76116541819415","158.203125","0","0.000932716565777746"
"FFFFFFFFFFFFFFFFE2000005","1448518729898311","1","-58","2.68753434037564","153.984375","0","-0.0170446087234506"
"FFFFFFFFFFFFFFFFE2000005","1448518729898311","1","-58","2.68753434037564","153.984375","-26","-0.0170446087234506"
"FFFFFFFFFFFFFFFFE2000005","1448518729898311","1","-58","2.68753434037564","153.984375","-26","-0.0170446087234506"
"FFFFFFFFFFFFFFFFE2000005","1448518729943408","1","-58","2.65071880146639","151.875","-26","-0.0255888583505991"
"FFFFFFFFFFFFFFFFE2000005","1448518729943408","1","-58","2.65071880146639","151.875","130","-0.0255888583505991"
"FFFFFFFFFFFFFFFFE2000005","1448518729943408","1","-59","2.65071880146639","151.875","130","-0.0255888583505991"
"FFFFFFFFFFFFFFFFE2000005","1448518729988203","1","-59","2.69367026352719","154.3359375","130","-0.0238732012763528"
"FFFFFFFFFFFFFFFFE2000005","1448518729988203","1","-59","2.69367026352719","154.3359375","-182","-0.0238732012763528"
"FFFFFFFFFFFFFFFFE2000005","1448518729988203","1","-58","2.69367026352719","154.3359375","-182","-0.0238732012763528"
"FFFFFFFFFFFFFFFFE2000005","1448518730034271","1","-58","2.70594210983027","155.0390625","-182","-0.00431704062084569"
"FFFFFFFFFFFFFFFFE2000005","1448518730034271","1","-58","2.70594210983027","155.0390625","-130","-0.00431704062084569"
"FFFFFFFFFFFFFFFFE2000005","1448518730034271","1","-58","2.70594210983027","155.0390625","-130","-0.00431704062084569"
"FFFFFFFFFFFFFFFFE2000005","1448518730081290","1","-58","2.6384469551633","151.171875","-130","0.00018987830858358"
"FFFFFFFFFFFFFFFFE2000005","1448518730081290","1","-58","2.6384469551633","151.171875","247","0.00018987830858358"
"FFFFFFFFFFFFFFFFE2000005","1448518730081290","1","-59","2.6384469551633","151.171875","247","0.00018987830858358"
"FFFFFFFFFFFFFFFFE2000005","1448518730126316","1","-59","2.63231103201176","150.8203125","247","-0.0148673728451046"
"FFFFFFFFFFFFFFFFE2000005","1448518730126316","1","-59","2.63231103201176","150.8203125","78","-0.0148673728451046"
"FFFFFFFFFFFFFFFFE2000005","1448518730126316","1","-59","2.63231103201176","150.8203125","78","-0.0148673728451046"
"FFFFFFFFFFFFFFFFE2000005","1448518730170642","1","-59","2.58322364679942","148.0078125","78","-0.0103426438722174"
"FFFFFFFFFFFFFFFFE2000005","1448518730170642","1","-59","2.58322364679942","148.0078125","247","-0.0103426438722174"
"FFFFFFFFFFFFFFFFE2000005","1448518730170642","1","-60","2.58322364679942","148.0078125","247","-0.0103426438722174"
"FFFFFFFFFFFFFFFFE2000005","1448518730215677","1","-60","2.62003918570868","150.1171875","247","-0.0177630262288035"
"FFFFFFFFFFFFFFFFE2000005","1448518730215677","1","-60","2.62003918570868","150.1171875","156","-0.0177630262288035"
"FFFFFFFFFFFFFFFFE2000005","1448518730215677","1","-59","2.62003918570868","150.1171875","156","-0.0177630262288035"
"FFFFFFFFFFFFFFFFE2000005","1448518730262277","1","-59","2.58935956995096","148.359375","156","-0.00212620008417896"
"FFFFFFFFFFFFFFFFE2000005","1448518730262277","1","-59","2.58935956995096","148.359375","156","-0.00212620008417896"
"FFFFFFFFFFFFFFFFE2000005","1448518730262277","1","-60","2.58935956995096","148.359375","156","-0.00212620008417896"
"FFFFFFFFFFFFFFFFE2000005","1448518730309963","1","-60","2.61390326255713","149.765625","156","-0.00814663047499772"
"FFFFFFFFFFFFFFFFE2000005","1448518730309963","1","-60","2.61390326255713","149.765625","156","-0.00814663047499772"
"FFFFFFFFFFFFFFFFE2000005","1448518730309963","1","-60","2.61390326255713","149.765625","156","-0.00814663047499772"
"FFFFFFFFFFFFFFFFE2000005","1448518730355138","1","-60","2.58935956995096","148.359375","156","0.000483567674507303"
"FFFFFFFFFFFFFFFFE2000005","1448518730355138","1","-60","2.58935956995096","148.359375","325","0.000483567674507303"
"FFFFFFFFFFFFFFFFE2000005","1448518730355138","1","-60","2.58935956995096","148.359375","325","0.000483567674507303"
"FFFFFFFFFFFFFFFFE2000005","1448518730398087","1","-60","2.5954954931025","148.7109375","325","-0.00537997650929672"
"FFFFFFFFFFFFFFFFE2000005","1448518730398087","1","-60","2.5954954931025","148.7109375","182","-0.00537997650929672"
"FFFFFFFFFFFFFFFFE2000005","1448518730398087","1","-59","2.5954954931025","148.7109375","182","-0.00537997650929672"
"FFFFFFFFFFFFFFFFE2000005","1448518730445443","1","-59","2.58322364679942","148.0078125","182","-0.00173698762491376"
"FFFFFFFFFFFFFFFFE2000005","1448518730445443","1","-59","2.58322364679942","148.0078125","26","-0.00173698762491376"
"FFFFFFFFFFFFFFFFE2000005","1448518730445443","1","-60","2.58322364679942","148.0078125","26","-0.00173698762491376"
"FFFFFFFFFFFFFFFFE2000005","1448518730492054","1","-60","2.60776733940559","149.4140625","26","-0.00374668134749028"
"FFFFFFFFFFFFFFFFE2000005","1448518730492054","1","-60","2.60776733940559","149.4140625","78","-0.00374668134749028"
"FFFFFFFFFFFFFFFFE2000005","1448518730492054","1","-60","2.60776733940559","149.4140625","78","-0.00374668134749028"
"FFFFFFFFFFFFFFFFE2000005","1448518730535494","1","-60","2.58935956995096","148.359375","78","0.0032474223263238"
"FFFFFFFFFFFFFFFFE2000005","1448518730535494","1","-60","2.58935956995096","148.359375","156","0.0032474223263238"
"FFFFFFFFFFFFFFFFE2000005","1448518730535494","1","-60","2.58935956995096","148.359375","156","0.0032474223263238"
"FFFFFFFFFFFFFFFFE2000005","1448518730584131","1","-60","2.62003918570868","150.1171875","156","-0.00247398342438873"
"FFFFFFFFFFFFFFFFE2000005","1448518730584131","1","-60","2.62003918570868","150.1171875","-104","-0.00247398342438873"
"FFFFFFFFFFFFFFFFE2000005","1448518730584131","1","-60","2.62003918570868","150.1171875","-104","-0.00247398342438873"
"FFFFFFFFFFFFFFFFE2000005","1448518730625653","1","-60","2.57708772364788","147.65625","-104","0.00509875499504601"
"FFFFFFFFFFFFFFFFE2000005","1448518730625653","1","-60","2.57708772364788","147.65625","-78","0.00509875499504601"
"FFFFFFFFFFFFFFFFE2000005","1448518730625653","1","-60","2.57708772364788","147.65625","-78","0.00509875499504601"
"FFFFFFFFFFFFFFFFE2000005","1448518730673865","1","-60","2.57708772364788","147.65625","-78","-0.00773642630776864"
"FFFFFFFFFFFFFFFFE2000005","1448518730673865","1","-60","2.57708772364788","147.65625","182","-0.00773642630776864"
"FFFFFFFFFFFFFFFFE2000005","1448518730673865","1","-60","2.57708772364788","147.65625","182","-0.00773642630776864"
"FFFFFFFFFFFFFFFFE2000005","1448518730720891","1","-60","2.58935956995096","148.359375","182","-0.00464185578466119"
"FFFFFFFFFFFFFFFFE2000005","1448518730720891","1","-60","2.58935956995096","148.359375","0","-0.00464185578466119"
"FFFFFFFFFFFFFFFFE2000005","1448518730720891","1","-60","2.58935956995096","148.359375","0","-0.00464185578466119"
"FFFFFFFFFFFFFFFFE2000005","1448518730765139","1","-60","2.64458287831485","151.5234375","0","-6.16462332579035E-05"
"FFFFFFFFFFFFFFFFE2000005","1448518730765139","1","-60","2.64458287831485","151.5234375","-273","-6.16462332579035E-05"
"FFFFFFFFFFFFFFFFE2000005","1448518730765139","1","-60","2.64458287831485","151.5234375","-273","-6.16462332579035E-05"
"FFFFFFFFFFFFFFFFE2000005","1448518730811267","1","-60","2.55254403104171","146.25","-273","0.0129880521806349"
"FFFFFFFFFFFFFFFFE2000005","1448518730811267","1","-60","2.55254403104171","146.25","182","0.0129880521806349"
"FFFFFFFFFFFFFFFFE2000005","1448518730811267","1","-60","2.55254403104171","146.25","182","0.0129880521806349"
"FFFFFFFFFFFFFFFFE2000005","1448518730856550","1","-60","2.55254403104171","146.25","182","-0.0130308176107951"
"FFFFFFFFFFFFFFFFE2000005","1448518730856550","1","-60","2.55254403104171","146.25","130","-0.0130308176107951"
"FFFFFFFFFFFFFFFFE2000005","1448518730856550","1","-60","2.55254403104171","146.25","130","-0.0130308176107951"
"FFFFFFFFFFFFFFFFE2000005","1448518730901769","1","-60","2.51572849213245","144.140625","130","-0.00781849056647703"
"FFFFFFFFFFFFFFFFE2000005","1448518730901769","1","-60","2.51572849213245","144.140625","104","-0.00781849056647703"
"FFFFFFFFFFFFFFFFE2000005","1448518730901769","1","-60","2.51572849213245","144.140625","104","-0.00781849056647703"
"FFFFFFFFFFFFFFFFE2000005","1448518730946439","1","-60","2.5954954931025","148.7109375","104","-0.0131879941151466"
"FFFFFFFFFFFFFFFFE2000005","1448518730946439","1","-60","2.5954954931025","148.7109375","-130","-0.0131879941151466"
"FFFFFFFFFFFFFFFFE2000005","1448518730946439","1","-61","2.5954954931025","148.7109375","-130","-0.0131879941151466"
"FFFFFFFFFFFFFFFFE2000005","1448518730991811","1","-61","2.49732072267782","143.0859375","-130","0.0107234136726459"
"FFFFFFFFFFFFFFFFE2000005","1448518730991811","1","-61","2.49732072267782","143.0859375","247","0.0107234136726459"
"FFFFFFFFFFFFFFFFE2000005","1448518730991811","1","-60","2.49732072267782","143.0859375","247","0.0107234136726459"
"FFFFFFFFFFFFFFFFE2000005","1448518731038621","1","-60","2.50345664582937","143.4375","247","-0.0161479442697441"
"FFFFFFFFFFFFFFFFE2000005","1448518731038621","1","-60","2.50345664582937","143.4375","78","-0.0161479442697441"
"FFFFFFFFFFFFFFFFE2000005","1448518731038621","1","-60","2.50345664582937","143.4375","78","-0.0161479442697441"
"FFFFFFFFFFFFFFFFE2000005","1448518731084049","1","-60","2.50345664582937","143.4375","78","-0.00832074936132838"
"FFFFFFFFFFFFFFFFE2000005","1448518731084049","1","-60","2.50345664582937","143.4375","78","-0.00832074936132838"
"FFFFFFFFFFFFFFFFE2000005","1448518731084049","1","-60","2.50345664582937","143.4375","78","-0.00832074936132838"
"FFFFFFFFFFFFFFFFE2000005","1448518731129611","1","-60","2.46050518376857","140.9765625","78","-0.00499244961679703"
"FFFFFFFFFFFFFFFFE2000005","1448518731129611","1","-60","2.46050518376857","140.9765625","78","-0.00499244961679703"
"FFFFFFFFFFFFFFFFE2000005","1448518731129611","1","-60","2.46050518376857","140.9765625","78","-0.00499244961679703"
"FFFFFFFFFFFFFFFFE2000005","1448518731174364","1","-60","2.36233041334389","135.3515625","78","-0.0128338920538619"
"FFFFFFFFFFFFFFFFE2000005","1448518731174364","1","-60","2.36233041334389","135.3515625","182","-0.0128338920538619"
"FFFFFFFFFFFFFFFFE2000005","1448518731174364","1","-60","2.36233041334389","135.3515625","182","-0.0128338920538619"
"FFFFFFFFFFFFFFFFE2000005","1448518731221543","1","-60","2.4359614911624","139.5703125","182","-0.0305946699696532"
"FFFFFFFFFFFFFFFFE2000005","1448518731221543","1","-60","2.4359614911624","139.5703125","182","-0.0305946699696532"
"FFFFFFFFFFFFFFFFE2000005","1448518731221543","1","-60","2.4359614911624","139.5703125","182","-0.0305946699696532"
"FFFFFFFFFFFFFFFFE2000005","1448518731263879","1","-60","2.41141779855623","138.1640625","182","-0.0020689912635698"
"FFFFFFFFFFFFFFFFE2000005","1448518731263879","1","-60","2.41141779855623","138.1640625","-182","-0.0020689912635698"
"FFFFFFFFFFFFFFFFE2000005","1448518731263879","1","-60","2.41141779855623","138.1640625","-182","-0.0020689912635698"
"FFFFFFFFFFFFFFFFE2000005","1448518731314291","1","-60","2.3930100291016","137.109375","-182","-0.00729174293994933"
"FFFFFFFFFFFFFFFFE2000005","1448518731314291","1","-60","2.3930100291016","137.109375","26","-0.00729174293994933"
"FFFFFFFFFFFFFFFFE2000005","1448518731314291","1","-60","2.3930100291016","137.109375","26","-0.00729174293994933"
"FFFFFFFFFFFFFFFFE2000005","1448518731357054","1","-60","2.35619449019234","135","26","-0.00818585778231344"
"FFFFFFFFFFFFFFFFE2000005","1448518731357054","1","-60","2.35619449019234","135","221","-0.00818585778231344"
"FFFFFFFFFFFFFFFFE2000005","1448518731357054","1","-60","2.35619449019234","135","221","-0.00818585778231344"
"FFFFFFFFFFFFFFFFE2000005","1448518731379003","1","-60","2.36846633649543","135.703125","221","-0.0138964154232524"
"FFFFFFFFFFFFFFFFE2000005","1448518731379003","1","-60","2.36846633649543","135.703125","26","-0.0138964154232524"
"FFFFFFFFFFFFFFFFE2000005","1448518731379003","1","-60","2.36846633649543","135.703125","26","-0.0138964154232524"
"FFFFFFFFFFFFFFFFE2000005","1448518731425776","1","-60","2.35619449019234","135","26","-0.00250278750569411"
"FFFFFFFFFFFFFFFFE2000005","1448518731425776","1","-60","2.35619449019234","135","130","-0.00250278750569411"
"FFFFFFFFFFFFFFFFE2000005","1448518731425776","1","-59","2.35619449019234","135","130","-0.00250278750569411"
"FFFFFFFFFFFFFFFFE2000005","1448518731468942","1","-59","2.3930100291016","137.109375","130","-0.00423987125723811"
"FFFFFFFFFFFFFFFFE2000005","1448518731468942","1","-59","2.3930100291016","137.109375","104","-0.00423987125723811"
